ID,Suc_pra,Cen_jac,Achilea,Cirsium,Pim_sax,Ran_acr,Ran_fla,Ang_syl,Lat_pra,Plantago,Poaceae,Cre_bie,Her_sph,Lyc_eur,indet,Dau_car,Kna_arv,Lot_cor,Leo_his,Apiaceae,Tri_spp
23_Suc_B1_1,,,,,,,,,,,,,,,,,,,,,
23_Suc_B1_2,,,,,,,,,,,,,,,,,,,,,
23_Suc_B1_3,,,,,,,,,,,,,,,,,,,,,
23_Suc_B2_1,,,,,,,,,,,,,,,,,,,,,
23_Suc_B2_2,,,,,,,,,,,,,,,,,,,,,
23_Suc_B2_3,,,,,,,,,,,,,,,,,,,,,
23_Suc_B3_1,,,,,,,,,,,,,,,,,,,,,
23_Suc_B3_2,,,,,,,,,,,,,,,,,,,,,
23_Suc_B3_3,,,,,,,,,,,,,,,,,,,,,
23_Suc_B4_1,,,,,,,,,,,,,,,,,,,,,
23_Suc_B4_2,27,117,7,3,,,,,,,,,1,1,1,,,,,,
23_Suc_B4_3,45,97,5,,,,,2,,,,,1,,1,,,,,,
23_Suc_B5_1,0,,,,,,,,,,,,,,,,,,,,
23_Suc_B5_2,0,,,,,,,,,,,,,,,,,,,,
23_Suc_B5_3,0,,,,,,,,,,,,,,,,,,,,
23_Suc_B6_1,12,33,6,,2,1,2,,,,,,2,,,,,,,,
23_Suc_B6_2,21,70,5,,,3,,1,,1,,,,,1,1,,,,,
23_Suc_B6_3,19,30,5,1,2,,,,,,,,,,1,,,,,,
23_Suc_B7_1,,,,,,,,,,,,,,,,,,,,,
23_Suc_B7_2,12,139,6,3,,,,10,,,1,,,,,,,,,,
23_Suc_B7_3,11,34,3,,1,1,,,,,,,,,,,,,,,
23_Suc_B8_1,19,44,11,2,,,,,,,,1,2,,4,1,,,,,
23_Suc_B8_2,22,57,7,1,,,,,,,,1,,,,,,,,,
23_Suc_B8_3,16,67,6,,,,,1,,,,1,1,,14,,,,,,
23_Suc_B9_1,11,23,3,,1,,,,,,,,,,,,,,,,
23_Suc_B9_2,25,27,1,,,,,,,,,,,,,,,,,,
23_Suc_B9_3,,,,,,,,,,,,,,,,,,,,,
23_Suc_B10_1,,,,,,,,,,,,,,,,,,,,,
23_Suc_B10_2,,,,,,,,,,,,,,,,,,,,,
23_Suc_B10_3,,,,,,,,,,,,,,,,,,,,,
23_Suc_B11_1,,,,,,,,,,,,,,,,,,,,,
23_Suc_B11_2,,,,,,,,,,,,,,,,,,,,,
23_Suc_B11_3,,,,,,,,,,,,,,,,,,,,,
23_Suc_B12_1,,,,,,,,,,,,,,,,,,,,,
23_Suc_B12_2,,,,,,,,,,,,,,,,,,,,,
23_Suc_B12_3,,,,,,,,,,,,,,,,,,,,,
23_Suc_B13_1,,,,,,,,,,,,,,,,,,,,,
23_Suc_B13_2,,,,,,,,,,,,,,,,,,,,,
23_Suc_B13_3,,,,,,,,,,,,,,,,,,,,,
23_Suc_B14_1,,,,,,,,,,,,,,,,,,,,,
23_Suc_B14_2,18,21,1,,,,,,,,,,,,,,,,,,
23_Suc_B14_3,,,,,,,,,,,,,,,,,,,,,
23_Suc_B15_1,,,,,,,,,,,,,,,,,,,,,
23_Suc_B15_2,,,,,,,,,,,,,,,,,,,,,
23_Suc_B15_3,,,,,,,,,,,,,,,,,,,,,
23_Suc_B16_1,,,,,,,,,,,,,,,,,,,,,
23_Suc_B16_2,,,,,,,,,,,,,,,,,,,,,
23_Suc_B16_3,,,,,,,,,,,,,,,,,,,,,
23_Suc_B17_1,,,,,,,,,,,,,,,,,,,,,
23_Suc_B17_2,,,,,,,,,,,,,,,,,,,,,
23_Suc_B17_3,,,,,,,,,,,,,,,,,,,,,
23_Suc_B18_1,,,,,,,,,,,,,,,,,,,,,
23_Suc_B18_2,,,,,,,,,,,,,,,,,,,,,
23_Suc_B18_3,,,,,,,,,,,,,,,,,,,,,
23_Suc_B19_1,,,,,,,,,,,,,,,,,,,,,
23_Suc_B19_2,,,,,,,,,,,,,,,,,,,,,
23_Suc_B19_3,,,,,,,,,,,,,,,,,,,,,
23_Suc_B20_1,,,,,,,,,,,,,,,,,,,,,
23_Suc_B20_2,,,,,,,,,,,,,,,,,,,,,
23_Suc_B20_3,,,,,,,,,,,,,,,,,,,,,
23_Suc_B21_1,,,,,,,,,,,,,,,,,,,,,
23_Suc_B21_2,47,26,4,,,,,,,,,,,,,,,,,,
23_Suc_B21_3,29,18,12,,2,2,,2,,,,,,,5,,,,,,
23_Suc_B22_1,11,17,3,2,,,,1,,,,,,,1,,,,,,
23_Suc_B22_2,9,55,43,2,1,,,,,2,,,,,23,1,,,,,
23_Suc_B22_3,,,,,,,,,,,,,,,,,,,,,
23_Suc_B23_1,32,28,2,1,,,,,,3,,,1,,3,,,,,,
23_Suc_B23_2,19,16,6,1,,2,1,,,,,,2,,,,,,,,
23_Suc_B23_3,,,,,,,,,,,,,,,,,,,,,
23_Suc_B24_1,24,42,4,9,,,,,,,,,,,2,2,,,,,
23_Suc_B24_2,57,44,5,4,,,1,3,,,,,,,2,,,,,,
23_Suc_B24_3,,,,,,,,,,,,,,,,,,,,,
23_Suc_B25_1,26,40,2,1,,,,,,,,,,,3,,,,,,
23_Suc_B25_2,43,45,3,,,,,,,,,,,,,,,,,,
23_Suc_B25_3,,,,,,,,,,,,,,,,,,,,,
23_Suc_B26_1,38,21,11,,,,,,,,,,,,,,,,,,
23_Suc_B26_2,25,24,5,1,,,,,,,,,,,1,,,,,,
23_Suc_B26_3,,,,,,,,,,,,,,,,,,,,,
23_Suc_B27_1,,,,,,,,,,,,,,,,,,,,,
23_Suc_B27_2,,,,,,,,,,,,,,,,,,,,,
23_Suc_B27_3,,,,,,,,,,,,,,,,,,,,,
